0	6506
1	4137
1	9223
1	5970
1	84962
1	836
1	2099
1	4613
1	5371_5914
1	5580
1	3659
1	7528
1	1742
1	92140
1	1387
1	1385
1	6647
1	8528
1	4790
1	2806
1	2805
1	5578
1	6934
1	1874
1	7314_7316
1	5465
1	4790_4791_5966_5970_5971
2	815
2	814
2	815_816_817_818
2	6446
2	23411
2	7052
2	10131_3320_3326_7184
2	2534
2	1432
2	8445
2	28227_5520_5521_5522_5523_5524_5525_5526_5527_5528_5529
2	151742_160760_54704_5494_5495_5496_5781_8493_9647
2	573
2	23178
2	5536
2	3987
2	5335_5336
2	5599
2	9344
2	5533
2	9833
2	5594
2	5499
2	6198_6199
2	6434
2	64714
2	100302276
2	1457_1459
2	7530
2	4139
2	2033
2	10273
2	25-1020
2	10013_10014_51564_83933_9734_9759
2	10971_2810_7529_7531_7532_7533_7534
2	6093_9475
2	3091
2	6198
2	6622
2	57787
2	207
2	2289
2	2288
2	5585
2	407040
2	406921
2	1612
2	6427
2	1515
2	9295
2	6195_6196_6197
2	1020
2	11200
2	6812
2	84446
2	9520
2	6714
2	2475
2	1432_5600_5603_6300
2	8878
2	5610
2	7189
2	5530_5532_5533
2	1111
2	351
2	51667
2	841
2	5562_5563
2	840
2	7020
2	4609
2	84630
2	2011
2	9024
2	27
2	25
2	1859
2	5603
2	8473
2	5602
2	5601
2	5600
2	5663
2	839
2	6667
2	5566
2	834
2	5515_5516
2	64844
2	2931_2932
2	5300
2	5599_5601_5602
2	6300
2	5580-5595
2	1453
2	5499_5500_5501
2	6850
2	407018
2	6657
2	824
2	983
2	5594_5595
2	823
2	51741
2	10728
2	57551
2	150094
2	2932
2	10000_207_208
2	5260_5261
2	9873
2	5587
2	7159
2	5803
2	8826
2	1514
2	9689
2	1513
2	1822
2	3570_3572
2	64072
2	9311
2	1184
2	1605
2	5879
2	154796
2	10155
2	5921
2	2185
2	2634
2	1520
2	23558
2	10276
2	1508
2	90952
2	3276
2	6195
2	1021
2	467
2	51588
2	55170
2	1616
2	301
2	8870
2	22984
2	3660
2	1017
2	6188
2	51773
2	23054
2	8904
2	8110
2	10401
2	4792_4793_4794
2	1961
2	6778
2	3066
2	1960
2	3065
2	9531
2	6774
2	6612
2	4520
2	6772
2	117581
2	5549
2	7994
2	4087
2	8462
2	644
2	1958
2	84148
2	8260
2	5468_6256
2	55743
2	8850
2	29110
2	999
2	8651
2	5894
2	8453
2	4869
2	57591
2	2130_2313
2	10540
2	28992
2	3836
2	3303_3304
2	9314
2	5292
2	8841
2	9475
2	196
2	7975
2	90865
2	64236
2	10735
2	1147
2	3397
2	10891
2	51548
2	4853
2	5325
2	81
2	442898
2	55922
2	134728
2	25865
2	51341
2	51147
2	818
